GEM Mine ID,MSHA ID,Country / Area,Mine Name,Mine Name AKAs,Mine Name (Non-ENG),Complex Name,GEM Wiki Page (ENG),GEM Wiki Page (Non-ENG),Status,Status Detail,Project Type,Project Phase,Owners,GEM Entity ID,Owners (Non-ENG),Parent Company,GEM Entity ID,Company HQs,Capacity (Mtpa),Production (Mtpa),Year of Production,"Coal Output (Annual, Mst)",Mine Type,Mining Method,Mine Size (Km2),Mine Depth (m),Depth Accuracy,Workforce Size,Workforce Accuracy,Coal Type,Coal Grade,Percentage of Met Coal,Percentage of Thermal Coal,Accuracy Rating,Reported Year of Percentage Split,"Total Reserves (Proven and Probable, Mt)",Year of Total Reserves Recorded,"Total Resource (Inferred, Indicated, Measured)",Reserve to Production Ratio (R/P),Opening Year,Closing Year,Reported Life of Mine,Reported Year of Mine Life,Coalfield,Location,"Prefecture, District","State, Province",Subregion,Region,Latitude,Longitude,Location Accuracy,"Primary Consumer, Destination","Coal Plant, Steel Plant, Terminal","Coal Plant, Steel Plant, Terminal GEM Wiki",Gas-level Rating,Gas-level Rating Appraisal Year,Reported Coal Mine Methane Emissions (thousand tonnes per year),Year of Reported Coal Mine Methane Emissions,Source ID,Has associated plume data,Has associated CMM mitigation data,GEM Coal Mine Methane Emissions Estimate (MCM/yr),GEM Coal Mine Methane Emissions Estimate (M tonnes/yr),Methane Gas Content (m^3/tonne) (Updated),Methane Emissions Factor (Updated),CMM Emissions (CO2e 20 years),CMM Emissions (CO2e 100 years),ISO Code
M0464,,India,Adasa Coal Mine,,,,https://www.gem.wiki/Adasa_Coal_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.5,0.72,2023,,Surface,Open Pit,5.9,50,Estimate,155,Exact,Subbituminous,Thermal,,,,,22,2020,29,31,2020,,18,2020,Kamptee,Kotodi,Nagpur,Maharashtra,Southern Asia,Asia,21.347,78.95355,Exact,,,,,,,,,,,0.9,0.00,0.8,1.5,0,0,356
M0465,,India,Adriyala Coal Mine,Adriyala Longwall Project,,,https://www.gem.wiki/Adriyala_coal_mine,,Operating,,,,The Singareni Collieries Co Ltd [100%],E100001000809 [100%],,The Singareni Collieries Co Ltd [100.0%],E100001000809 [100.0%],India,2.5,1.7,2023,,Underground,Longwall,9.64,620,Exact,1559,Estimate,Subbituminous,Thermal,,,,,109,2024,351,64,2008,,33,2024,Mancherial,,Karimnagar,Telangana,Southern Asia,Asia,18.6648,79.579,Exact,Coal Plant,Ramagundam power station,https://www.gem.wiki/Ramagundam_power_station,,,,,,,,13.9,0.01,5.1,1.6,0.8,0.3,356
M0466,,India,AKK Coal Mine,AMALGAMATED KONAR KHAS MAHAL,,,https://www.gem.wiki/AKK_coal_mine,,Operating,,,,Central Coalfields Ltd [100%],E100001000803 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,5.35,2023,,Surface,Open Pit,-,50,Estimate,951,Estimate,Subbituminous,Thermal,,,,,-,,-,-,,,-,,Bokaro,,,Jharkhand,Southern Asia,Asia,23.7905,85.9198,Exact,,,,,,,,,,,6.4,0.00,0.8,1.5,0.4,0.1,356
M0467,,India,Amadand Coal Mine,Amadand OC,,,https://www.gem.wiki/Amadand_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.8,3.32,2023,,Surface,Open Pit,8.84,50,Estimate,563,Estimate,Subbituminous,Thermal,,,,,36,,-,11,2010,,16,,Sohagpur,Amadand,Annuppur,Madhya Pradesh,Southern Asia,Asia,23.15794,82.06153,Exact,,,,,,,,,,,4,0.00,0.8,1.5,0.2,0.1,356
M0467,,India,Amadand Coal Mine,,,,https://www.gem.wiki/Amadand_coal_mine,,Proposed,Permitted,Extension,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.5,*,,,Surface,Open Pit,14.43,50,Estimate,537,Estimate,Subbituminous,Thermal,,,,,59,,161,,2024-2025,,19,,,Tehsil Kotma,Annuppur,Madhya Pradesh,Southern Asia,Asia,23.11909,81.6896,Approximate,,,,,,,,,,,1.8,0.00,0.8,1.5,0.1,0,356
M0468,,India,Amalgamated Keshalpur-West Mudidih (AKWMC) Coal Mine,"Cluster 5, AKWMC",,,https://www.gem.wiki/Cluster_No._5_(BCCL),,Operating,,,,Bharat Coking Coal Ltd [100%],E100001000805 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,*,3.14,2023,,Underground & Surface,Mixed,5.8,150,Exact,744,Estimate,Subbituminous,Thermal,,,,,27,2022,-,9,,,20,2018,Dhanbad,,,Jharkhand,Southern Asia,Asia,23.8078,86.3221,Exact,,,,,,,,,,,10,0.01,2,1.6,0.6,0.2,356
M0469,,India,Amalgamated Yekona I and II Coal Mines,,,,https://www.gem.wiki/Amalgamated_Yekona_Mine,,Operating,,,,Western Coalfields Ltd [100%],E100001000801 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,2.1,2.77,2023,,Surface,Open Pit,17,50,Estimate,604,Estimate,Lignite,Thermal,,,,,58,2019,-,21,2021,,25,,Wardha Valley,Warora,Chandrapur,Maharashtra,Southern Asia,Asia,20.22833,78.91667,Approximate,,,,,,,,,,,3.3,0.00,0.8,1.5,0.2,0.1,356
M0470,,India,Ambika Coal Mine,,,,https://www.gem.wiki/Ambika_OC_coal_mine,,Proposed,Permitted,New,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.2,,,,Surface,Open Pit,1.34,56,Exact,,,Lignite,Thermal,,,,,8,,12,6,,,9,,Korba,,Korba,Chhattisgarh,Southern Asia,Asia,22.35278,82.33861,Exact,,,,,,,,,,,1.5,0.00,0.9,1.5,0.1,0,356
M0471,,India,Amelia North Coal Mine,,,,https://www.gem.wiki/Amelia_(North)_coal_mine,,Operating,,,,Jaiprakash Power Ventures Ltd [100%],E100001000611 [100%],,Jaiprakash Power Ventures Ltd [100.0%],E100001000611 [100.0%],India,2.6,3.92,2023,,Surface,Open Pit,7.28,50,Estimate,701,Estimate,Subbituminous,Thermal,,,,,120,2007,-,31,2015,,-,,Singrauli,,,Madhya Pradesh,Southern Asia,Asia,24.1346,82.4264,Exact,,,,,,,,,,,4.7,0.00,0.8,1.5,0.3,0.1,356
M0472,,India,Amlai Coal Mine,New Amlai,,,https://www.gem.wiki/Amlai_coal_mine,,Operating,,,,South Eastern Coalfields Ltd [100%],E100001000806 [100%],,Coal India Ltd [100.0%],E100001000396 [100.0%],India,1.2,1.73,2023,,Underground,,7.24,300,Estimate,1507,Estimate,Subbituminous,Thermal,,,,,-,,11,-,,,-,,Sohagpur,Amlai,Shahdol,Madhya Pradesh,Southern Asia,Asia,23.16768,81.59593,Approximate,,,,,,,,,,,9.1,0.01,3.3,1.6,0.5,0.2,356
